pool,mode,tf,horizon,opportunities,active_observations,coverage,hit_rate,mean_gross_bps,mean_net_2bps,mean_net_5bps,fixed_clock_mean_net_2bps,new_direction_events,event_mean_gross_bps
ALL,MOM,5,15,1170,1157,0.9888888888888889,0.4675885911840968,-0.36783585113199946,-4.367835851131999,-10.367835851132,-4.319304341674977,163,-0.14180064447303645
ALL,MOM,5,30,1080,1068,0.9888888888888889,0.47659176029962547,-0.012862971345201151,-4.012862971345201,-10.0128629713452,-3.968275604996921,151,-0.5682202624017061
ALL,MOM,5,60,900,890,0.9888888888888889,0.501123595505618,0.30902219765190136,-3.6909778023480984,-9.690977802348097,-3.649966937877564,126,-0.3659314888263472
ALL,MOM,15,15,1170,1165,0.9957264957264957,0.39570815450643776,-1.5098554218088527,-5.509855421808854,-11.509855421808853,-5.486309031117362,108,-0.44109787252389826
ALL,MOM,15,30,1080,1075,0.9953703703703703,0.4306976744186046,-1.351250962163754,-5.351250962163754,-11.351250962163753,-5.326476652153737,98,0.08325640481069041
ALL,MOM,15,60,900,897,0.9966666666666667,0.411371237458194,-2.181855636887507,-6.181855636887508,-12.181855636887509,-6.161249451431215,69,-0.4033895991780835
ALL,MOM,30,15,1170,1165,0.9957264957264957,0.40600858369098713,-1.0758391202741724,-5.075839120274172,-11.075839120274171,-5.05414750010206,59,0.29630729476993767
ALL,MOM,30,30,1080,1076,0.9962962962962963,0.38661710037174724,-1.9458120300489816,-5.945812030048982,-11.945812030048982,-5.923790504011763,50,-0.21197851234671103
ALL,MOM,30,60,900,896,0.9955555555555555,0.37276785714285715,-2.9321340326432557,-6.932134032643256,-12.932134032643257,-6.90132454805373,41,0.15947400441098875
ALL,MOM,60,15,1170,1168,0.9982905982905983,0.4854452054794521,-0.35279250566405845,-4.352792505664059,-10.352792505664059,-4.345351834714206,45,-0.15037457879703758
ALL,MOM,60,30,1080,1078,0.9981481481481481,0.43506493506493504,-0.769268392837349,-4.769268392837349,-10.769268392837349,-4.760436414332094,43,-0.30329517202793
ALL,MOM,60,60,900,899,0.9988888888888889,0.5216907675194661,-0.666436418706254,-4.666436418706254,-10.666436418706255,-4.661251489352136,41,-0.48757621276527013
ALL,MOM+CVD,5,15,1170,799,0.6829059829059829,0.45807259073842305,-0.5774022237670262,-4.5774022237670255,-10.577402223767026,-3.125935364777653,154,-0.6776440124803959
ALL,MOM+CVD,5,30,1080,743,0.687962962962963,0.4576043068640646,-0.430039507275785,-4.430039507275785,-10.430039507275785,-3.0477031054684334,142,-1.1198171734974813
ALL,MOM+CVD,5,60,900,619,0.6877777777777778,0.43134087237479807,-1.36243795679662,-5.36243795679662,-11.362437956796619,-3.688165661396786,119,-1.381238080135364
ALL,MOM+CVD,15,15,1170,751,0.6418803418803419,0.4047936085219707,-1.6443178652642345,-5.6443178652642345,-11.644317865264236,-3.6229766810371284,107,-1.8255796539048363
ALL,MOM+CVD,15,30,1080,694,0.6425925925925926,0.38328530259365995,-2.2871770830397975,-6.287177083039798,-12.287177083039795,-4.040093421879278,100,-1.1529664688780918
ALL,MOM+CVD,15,60,900,588,0.6533333333333333,0.36054421768707484,-3.422682373150281,-7.422682373150281,-13.42268237315028,-4.84948581712485,75,-1.434997887753268
ALL,MOM+CVD,30,15,1170,646,0.5521367521367522,0.413312693498452,-1.0377439303107316,-5.037743930310732,-11.03774393031073,-2.781523571778404,49,-0.8645450924477222
ALL,MOM+CVD,30,30,1080,596,0.5518518518518518,0.40268456375838924,-1.9074692505393633,-5.907469250539363,-11.907469250539364,-3.2600478456680193,43,-2.3416600492247537
ALL,MOM+CVD,30,60,900,527,0.5855555555555556,0.396584440227704,-2.504857017118505,-6.504857017118506,-12.504857017118503,-3.80895516446828,37,-3.7454192499383825
ALL,MOM+CVD,60,15,1170,742,0.6341880341880342,0.5040431266846361,-0.19969512288007807,-4.199695122880079,-10.199695122880078,-2.6633963941683914,42,-0.3978173343661896
ALL,MOM+CVD,60,30,1080,702,0.65,0.4515669515669516,-0.3195143299305262,-4.319514329930526,-10.319514329930525,-2.807684314454842,41,-1.1384642115823034
ALL,MOM+CVD,60,60,900,576,0.64,0.546875,0.4490903896834592,-3.5509096103165407,-9.550909610316543,-2.2725821506025863,38,2.919183845945922
QQQ,MOM,5,15,585,579,0.9897435897435898,0.4835924006908463,-0.40349454237265897,-4.403494542372659,-10.403494542372659,-4.358330495784221,87,0.094434791238604
QQQ,MOM,5,30,540,535,0.9907407407407407,0.45981308411214955,-0.009834494826497446,-4.009834494826497,-10.009834494826496,-3.9727063976521775,78,-0.4996344910960323
QQQ,MOM,5,60,450,447,0.9933333333333333,0.5078299776286354,0.40527302751295574,-3.5947269724870443,-9.594726972487043,-3.5707621260037974,65,-0.2286917198812005
QQQ,MOM,15,15,585,583,0.9965811965811966,0.3996569468267582,-1.6723368910984244,-5.672336891098424,-11.672336891098425,-5.6529442863425325,58,-0.7711184852119145
QQQ,MOM,15,30,540,538,0.9962962962962963,0.4423791821561338,-1.3991815247578325,-5.399181524757833,-11.399181524757832,-5.379184556147619,56,-0.19585112193719145
QQQ,MOM,15,60,450,449,0.9977777777777778,0.41648106904231624,-2.3577298512257316,-6.3577298512257325,-12.35772985122573,-6.343601562667454,39,-0.5891032303158473
QQQ,MOM,30,15,585,581,0.9931623931623932,0.42168674698795183,-1.0553839995020824,-5.055383999502082,-11.055383999502082,-5.020817271300358,25,0.7280316231753848
QQQ,MOM,30,30,540,536,0.9925925925925926,0.3880597014925373,-2.0388679827510683,-6.038867982751068,-12.038867982751068,-5.994135627323282,19,-0.1980896865471034
QQQ,MOM,30,60,450,446,0.9911111111111112,0.35874439461883406,-3.1846449019996195,-7.1846449019996195,-13.18464490199962,-7.120781391759624,19,-0.37100893020827325
QQQ,MOM,60,15,585,584,0.9982905982905983,0.4897260273972603,-0.40171310134992083,-4.401713101349921,-10.401713101349921,-4.3941888054501765,29,-0.4119527333590716
QQQ,MOM,60,30,540,539,0.9981481481481481,0.4267161410018553,-0.9218115369073,-4.9218115369073,-10.921811536907299,-4.912697071098212,28,-0.4032810121769909
QQQ,MOM,60,60,450,450,1.0,0.4777777777777778,-1.8104044983095446,-5.810404498309545,-11.810404498309545,-5.810404498309545,26,-0.6031031127294263
QQQ,MOM+CVD,5,15,585,417,0.7128205128205128,0.47002398081534774,-0.6390043125579369,-4.639004312557938,-10.639004312557939,-3.3067774330541195,84,-0.6355464408083767
QQQ,MOM+CVD,5,30,540,401,0.7425925925925926,0.4488778054862843,-0.3364243239953496,-4.33642432399535,-10.336424323995349,-3.2201965813372873,75,-0.909458672091749
QQQ,MOM+CVD,5,60,450,326,0.7244444444444444,0.4785276073619632,-0.4848680486336607,-4.48486804863366,-10.484868048633661,-3.2490377418990524,65,-0.6685088394144432
QQQ,MOM+CVD,15,15,585,415,0.7094017094017094,0.40481927710843374,-1.7746397423993991,-5.774639742399399,-11.774639742399401,-4.09653930443718,53,-2.3934381427239986
QQQ,MOM+CVD,15,30,540,379,0.7018518518518518,0.39577836411609496,-2.338811082661514,-6.338811082661514,-12.338811082661513,-4.448906296905025,51,-1.0883141610525144
