id,type,strike,expiry,oi,multiplier,iv,gamma,delta,bid,ask,volume,quoteAsOf,expiryVerified
DEMO:SPY:0:call:505,call,505,2026-09-04T20:00:00.000Z,2792,100,0.235,0,0.9999979452075906,73.58,76.42,117,2026-09-04T18:30:00.000Z,true
DEMO:SPY:0:put:505,put,505,2026-09-04T20:00:00.000Z,6565,100,0.26,0,0,0.01,0.02,935,2026-09-04T18:30:00.000Z,true
DEMO:SPY:0:call:510,call,510,2026-09-04T20:00:00.000Z,4830,100,0.232,0,0.9999979452075906,68.28,71.73,566,2026-09-04T18:30:00.000Z,true
DEMO:SPY:0:put:510,put,510,2026-09-04T20:00:00.000Z,3164,100,0.257,4.41285e-319,0,0.01,0.02,386,2026-09-04T18:30:00.000Z,true
DEMO:SPY:0:call:515,call,515,2026-09-04T20:00:00.000Z,6565,100,0.229,0,0.9999979452075906,64.1,65.91,580,2026-09-04T18:30:00.000Z,true
DEMO:SPY:0:put:515,put,515,2026-09-04T20:00:00.000Z,7478,100,0.254,3.673005224251759e-279,0,0.01,0.02,209,2026-09-04T18:30:00.000Z,true
DEMO:SPY:0:call:520,call,520,2026-09-04T20:00:00.000Z,5889,100,0.226,1.777938241163477e-297,0.9999979452075906,58.82,61.19,224,2026-09-04T18:30:00.000Z,true
DEMO:SPY:0:put:520,put,520,2026-09-04T20:00:00.000Z,4376,100,0.251,1.7767525647597532e-241,0,0.01,0.02,624,2026-09-04T18:30:00.000Z,true
DEMO:SPY:0:call:525,call,525,2026-09-04T20:00:00.000Z,3829,100,0.223,1.5872433906828146e-254,0.9999979452075906,53.98,56.03,342,2026-09-04T18:30:00.000Z,true
DEMO:SPY:0:put:525,put,525,2026-09-04T20:00:00.000Z,8094,100,0.248,4.1718391571600334e-206,0,0.01,0.02,341,2026-09-04T18:30:00.000Z,true
DEMO:SPY:0:call:530,call,530,2026-09-04T20:00:00.000Z,2884,100,0.22,2.4706377960116155e-214,0.9999979452075906,49.36,50.64,182,2026-09-04T18:30:00.000Z,true
DEMO:SPY:0:put:530,put,530,2026-09-04T20:00:00.000Z,11800,100,0.245,3.8995912794197574e-173,0,0.01,0.02,762,2026-09-04T18:30:00.000Z,true
DEMO:SPY:0:call:535,call,535,2026-09-04T20:00:00.000Z,4139,100,0.217,4.932895290752796e-177,0.9999979452075906,44.26,45.75,191,2026-09-04T18:30:00.000Z,true
DEMO:SPY:0:put:535,put,535,2026-09-04T20:00:00.000Z,11377,100,0.242,1.1671815137019038e-142,0,0.01,0.02,1386,2026-09-04T18:30:00.000Z,true
DEMO:SPY:0:call:540,call,540,2026-09-04T20:00:00.000Z,5555,100,0.214,9.007322718789729e-143,0.9999979452075906,39.08,40.92,587,2026-09-04T18:30:00.000Z,true
DEMO:SPY:0:put:540,put,540,2026-09-04T20:00:00.000Z,4998,100,0.239,8.811382539879579e-115,0,0.01,0.02,138,2026-09-04T18:30:00.000Z,true
DEMO:SPY:0:call:545,call,545,2026-09-04T20:00:00.000Z,3653,100,0.211,1.0364671157590274e-111,0.9999979452075906,34.48,35.52,144,2026-09-04T18:30:00.000Z,true
DEMO:SPY:0:put:545,put,545,2026-09-04T20:00:00.000Z,4109,100,0.236,1.2922118797102017e-89,0,0.01,0.02,318,2026-09-04T18:30:00.000Z,true
DEMO:SPY:0:call:550,call,550,2026-09-04T20:00:00.000Z,1047,100,0.20800000000000002,4.990100247570232e-84,0.9999979452075906,29.61,30.4,169,2026-09-04T18:30:00.000Z,true
DEMO:SPY:0:put:550,put,550,2026-09-04T20:00:00.000Z,17107,100,0.23299999999999998,2.7675261221002556e-67,0,0.01,0.02,853,2026-09-04T18:30:00.000Z,true
DEMO:SPY:0:call:555,call,555,2026-09-04T20:00:00.000Z,1372,100,0.20500000000000002,6.408687619226075e-60,0.9999979452075906,24.48,25.53,92,2026-09-04T18:30:00.000Z,true
DEMO:SPY:0:put:555,put,555,2026-09-04T20:00:00.000Z,16710,100,0.22999999999999998,6.339562188424052e-48,0,0.01,0.02,95,2026-09-04T18:30:00.000Z,true
DEMO:SPY:0:call:560,call,560,2026-09-04T20:00:00.000Z,6033,100,0.202,1.3390087059008568e-39,0.9999979452075906,19.54,20.47,332,2026-09-04T18:30:00.000Z,true
DEMO:SPY:0:put:560,put,560,2026-09-04T20:00:00.000Z,19191,100,0.227,1.1059082117395139e-31,0,0.01,0.02,1342,2026-09-04T18:30:00.000Z,true
DEMO:SPY:0:call:565,call,565,2026-09-04T20:00:00.000Z,9462,100,0.199,2.6442248211448546e-23,0.9999979452075906,14.74,15.27,726,2026-09-04T18:30:00.000Z,true
DEMO:SPY:0:put:565,put,565,2026-09-04T20:00:00.000Z,19357,100,0.224,1.014576980516653e-18,0,0.01,0.02,2939,2026-09-04T18:30:00.000Z,true
DEMO:SPY:0:call:570,call,570,2026-09-04T20:00:00.000Z,8181,100,0.196,2.7183475572604806e-11,0.999997945201718,9.86,10.15,234,2026-09-04T18:30:00.000Z,true
DEMO:SPY:0:put:570,put,570,2026-09-04T20:00:00.000Z,4135,100,0.221,3.270286426161589e-09,-8.915121418791628e-10,0.01,0.02,405,2026-09-04T18:30:00.000Z,true
DEMO:SPY:0:call:575,call,575,2026-09-04T20:00:00.000Z,15458,100,0.193,0.0007556891904611288,0.9996976485978758,4.88,5.12,1178,2026-09-04T18:30:00.000Z,true
DEMO:SPY:0:put:575,put,575,2026-09-04T20:00:00.000Z,8796,100,0.218,0.0023868836837287414,-0.0011900832953633837,0.01,0.02,1042,2026-09-04T18:30:00.000Z,true
DEMO:SPY:0:call:580,call,580,2026-09-04T20:00:00.000Z,21009,100,0.19,0.2766507285619622,0.5012642359425663,0.57,0.59,2185,2026-09-04T18:30:00.000Z,true
DEMO:SPY:0:put:580,put,580,2026-09-04T20:00:00.000Z,14123,100,0.215,0.24448208578157,-0.49875791029131306,0.64,0.66,1730,2026-09-04T18:30:00.000Z,true
DEMO:SPY:0:call:585,call,585,2026-09-04T20:00:00.000Z,15749,100,0.193,0.0008537701263132769,0.0003423919844512876,0.01,0.02,844,2026-09-04T18:30:00.000Z,true
DEMO:SPY:0:put:585,put,585,2026-09-04T20:00:00.000Z,4390,100,0.218,0.0026313584971498984,-0.998674002945643,4.9,5.09,62,2026-09-04T18:30:00.000Z,true
DEMO:SPY:0:call:590,call,590,2026-09-04T20:00:00.000Z,7161,100,0.196,6.182595805233185e-11,1.3586437368787075e-11,0.01,0.02,660,2026-09-04T18:30:00.000Z,true
DEMO:SPY:0:put:590,put,590,2026-09-04T20:00:00.000Z,2383,100,0.221,6.264376870844419e-09,-0.9999979434703858,9.79,10.21,86,2026-09-04T18:30:00.000Z,true
DEMO:SPY:0:call:595,call,595,2026-09-04T20:00:00.000Z,4764,100,0.199,3.6131541444470347e-22,0,0.01,0.02,270,2026-09-04T18:30:00.000Z,true
DEMO:SPY:0:put:595,put,595,2026-09-04T20:00:00.000Z,3639,100,0.224,8.033529625922982e-18,-0.9999979452075906,14.69,15.31,60,2026-09-04T18:30:00.000Z,true
DEMO:SPY:0:call:600,call,600,2026-09-04T20:00:00.000Z,30501,100,0.202,5.16947601405932e-37,0,0.01,0.02,1245,2026-09-04T18:30:00.000Z,true
DEMO:SPY:0:put:600,put,600,2026-09-04T20:00:00.000Z,6254,100,0.227,1.2448719949500937e-29,-0.9999979452075906,19.75,20.25,698,2026-09-04T18:30:00.000Z,true
DEMO:SPY:0:call:605,call,605,2026-09-04T20:00:00.000Z,31461,100,0.20500000000000002,4.909662117187525e-55,0,0.01,0.02,2438,2026-09-04T18:30:00.000Z,true
DEMO:SPY:0:put:605,put,605,2026-09-04T20:00:00.000Z,3372,100,0.22999999999999998,4.8539854536804e-44,-0.9999979452075906,24.71,25.28,372,2026-09-04T18:30:00.000Z,true
DEMO:SPY:0:call:610,call,610,2026-09-04T20:00:00.000Z,12785,100,0.20800000000000002,7.589959981377115e-76,0,0.01,0.02,312,2026-09-04T18:30:00.000Z,true
DEMO:SPY:0:put:610,put,610,2026-09-04T20:00:00.000Z,1960,100,0.23299999999999998,9.271765206758463e-61,-0.9999979452075906,29.68,30.31,280,2026-09-04T18:30:00.000Z,true
DEMO:SPY:0:call:615,call,615,2026-09-04T20:00:00.000Z,22885,100,0.211,4.279643272639012e-99,0,0.01,0.02,1678,2026-09-04T18:30:00.000Z,true
DEMO:SPY:0:put:615,put,615,2026-09-04T20:00:00.000Z,5247,100,0.236,1.589172113398928e-79,-0.9999979452075906,34.58,35.42,473,2026-09-04T18:30:00.000Z,true
DEMO:SPY:0:call:620,call,620,2026-09-04T20:00:00.000Z,12004,100,0.214,1.8189998025658604e-124,0,0.01,0.02,44,2026-09-04T18:30:00.000Z,true
DEMO:SPY:0:put:620,put,620,2026-09-04T20:00:00.000Z,3797,100,0.239,4.2361501486766785e-100,-0.9999979452075906,39.58,40.41,599,2026-09-04T18:30:00.000Z,true
DEMO:SPY:0:call:625,call,625,2026-09-04T20:00:00.000Z,8070,100,0.217,1.1200784611526825e-151,0,0.01,0.02,691,2026-09-04T18:30:00.000Z,true
DEMO:SPY:0:put:625,put,625,2026-09-04T20:00:00.000Z,2022,100,0.242,2.8948774328427965e-122,-0.9999979452075906,44.34,45.66,50,2026-09-04T18:30:00.000Z,true
DEMO:SPY:0:call:630,call,630,2026-09-04T20:00:00.000Z,4064,100,0.22,1.7990099677185705e-180,0,0.01,0.02,381,2026-09-04T18:30:00.000Z,true
DEMO:SPY:0:put:630,put,630,2026-09-04T20:00:00.000Z,3036,100,0.245,7.988016940959574e-146,-0.9999979452075906,49.3,50.69,88,2026-09-04T18:30:00.000Z,true
DEMO:SPY:0:call:635,call,635,2026-09-04T20:00:00.000Z,8647,100,0.223,1.2795458789507825e-210,0,0.01,0.02,192,2026-09-04T18:30:00.000Z,true
DEMO:SPY:0:put:635,put,635,2026-09-04T20:00:00.000Z,1433,100,0.248,1.3450031247047558e-170,-0.9999979452075906,54.42,55.57,199,2026-09-04T18:30:00.000Z,true
DEMO:SPY:0:call:640,call,640,2026-09-04T20:00:00.000Z,5757,100,0.226,6.489527445563705e-242,0,0.01,0.02,408,2026-09-04T18:30:00.000Z,true
DEMO:SPY:0:put:640,put,640,2026-09-04T20:00:00.000Z,4904,100,0.251,2.0112949640005202e-196,-0.9999979452075906,58.87,61.13,346,2026-09-04T18:30:00.000Z,true
DEMO:SPY:0:call:645,call,645,2026-09-04T20:00:00.000Z,1325,100,0.229,3.6033372258179853e-274,0,0.01,0.02,141,2026-09-04T18:30:00.000Z,true
DEMO:SPY:0:put:645,put,645,2026-09-04T20:00:00.000Z,3032,100,0.254,3.756917591239936e-223,-0.9999979452075906,64.06,65.93,63,2026-09-04T18:30:00.000Z,true
DEMO:SPY:0:call:650,call,650,2026-09-04T20:00:00.000Z,1219,100,0.232,3.2215662332212304e-307,0,0.01,0.02,203,2026-09-04T18:30:00.000Z,true
DEMO:SPY:0:put:650,put,650,2026-09-04T20:00:00.000Z,6383,100,0.257,1.1950974974100859e-250,-0.9999979452075906,68.44,71.55,711,2026-09-04T18:30:00.000Z,true
DEMO:SPY:0:call:655,call,655,2026-09-04T20:00:00.000Z,2698,100,0.235,0,0,0.01,0.02,322,2026-09-04T18:30:00.000Z,true
DEMO:SPY:0:put:655,put,655,2026-09-04T20:00:00.000Z,1874,100,0.26,8.580014049379229e-279,-0.9999979452075906,73.85,76.14,254,2026-09-04T18:30:00.000Z,true
DEMO:SPY:7:call:505,call,505,2026-09-11T20:00:00.000Z,3299,100,0.235,2.3216537227256885e-06,0.9997580087131789,74.05,76.47,92,2026-09-04T18:30:00.000Z,true
DEMO:SPY:7:put:505,put,505,2026-09-11T20:00:00.000Z,3788,100,0.26,1.0983804863628558e-05,-5.629948627459358e-05,0.01,0.02,325,2026-09-04T18:30:00.000Z,true
DEMO:SPY:7:call:510,call,510,2026-09-11T20:00:00.000Z,2371,100,0.232,6.640310286245744e-06,0.9997385290476374,69.38,71.14,356,2026-09-04T18:30:00.000Z,true
DEMO:SPY:7:put:510,put,510,2026-09-11T20:00:00.000Z,3079,100,0.257,2.639506308666121e-05,-0.0001412729061398655,0.01,0.02,176,2026-09-04T18:30:00.000Z,true
DEMO:SPY:7:call:515,call,515,2026-09-11T20:00:00.000Z,1045,100,0.229,1.8079580582995197e-05,0.9996843318463977,64.41,66.12,98,2026-09-04T18:30:00.000Z,true
DEMO:SPY:7:put:515,put,515,2026-09-11T20:00:00.000Z,1566,100,0.254,6.070425420017397e-05,-0.00034044769658386266,0.01,0.02,267,2026-09-04T18:30:00.000Z,true
DEMO:SPY:7:call:520,call,520,2026-09-11T20:00:00.000Z,3886,100,0.226,4.676619722680321e-05,0.9995408596759585,59.46,61.07,302,2026-09-04T18:30:00.000Z,true
DEMO:SPY:7:put:520,put,520,2026-09-11T20:00:00.000Z,3991,100,0.251,0.00013341965995627972,-0.0007871336732977626,0.01,0.02,214,2026-09-04T18:30:00.000Z,true
DEMO:SPY:7:call:525,call,525,2026-09-11T20:00:00.000Z,4148,100,0.223,0.00011467263528849976,0.9991802438041425,53.9,56.65,45,2026-09-04T18:30:00.000Z,true
DEMO:SPY:7:put:525,put,525,2026-09-11T20:00:00.000Z,2310,100,0.248,0.00027979335532965163,-0.0017441819056874057,0.01,0.02,284,2026-09-04T18:30:00.000Z,true
DEMO:SPY:7:call:530,call,530,2026-09-11T20:00:00.000Z,1860,100,0.22,0.00026589478168030986,0.9983216211705941,49.22,51.35,140,2026-09-04T18:30:00.000Z,true
DEMO:SPY:7:put:530,put,530,2026-09-11T20:00:00.000Z,5443,100,0.245,0.0005588750946307446,-0.0036999133105347216,0.01,0.03,525,2026-09-04T18:30:00.000Z,true
DEMO:SPY:7:call:535,call,535,2026-09-11T20:00:00.000Z,4175,100,0.217,0.0005814465556868377,0.9963899666424921,44.55,46.05,491,2026-09-04T18:30:00.000Z,true
DEMO:SPY:7:put:535,put,535,2026-09-11T20:00:00.000Z,7455,100,0.242,0.0010612561519467445,-0.007504765430156178,0.04,0.06,430,2026-09-04T18:30:00.000Z,true
DEMO:SPY:7:call:540,call,540,2026-09-11T20:00:00.000Z,2402,100,0.214,0.001195549048035095,0.9922954522338567,39.77,40.88,237,2026-09-04T18:30:00.000Z,true
